lat,lng,date,value
22.3193,114.1693,2024-01-01,3
22.3193,114.1693,2024-01-02,5
22.3124,114.1699,2024-01-03,2
22.3193,114.1693,2024-01-03,4
22.2988,114.1722,2024-01-05,1
22.3193,114.1693,2024-01-07,6
22.3306,114.1627,2024-01-08,3
22.3193,114.1693,2024-01-08,8
22.3124,114.1699,2024-01-09,4
22.3306,114.1627,2024-01-10,5
22.3193,114.1693,2024-01-11,5
22.2796,114.1717,2024-01-12,1
22.3306,114.1627,2024-01-13,7
22.2793,114.1851,2024-01-15,2
22.3193,114.1693,2024-01-15,3
22.2793,114.1851,2024-01-16,4
22.3306,114.1627,2024-01-17,4
22.2793,114.1851,2024-01-18,6
22.3834,114.1868,2024-01-19,1
22.2793,114.1851,2024-01-20,5
22.3193,114.1693,2024-01-21,2
